player_id,team,team_code,name,club,position,age,overall,international_reputation,career_years,caps,debut_age,skill_pace,skill_shooting,skill_passing,skill_dribbling,skill_defending,skill_physical,market_value_eur,followers,engagement_rate,longevity,skill_index,log_followers,social_score,pos_DF,pos_FW,pos_GK,pos_MF,role
0,Mexico,MEX,C. Vela,Los Angeles FC,FW,32,83.0,3,13,143,19,80.0,82.0,78.0,84.0,31.0,67.0,29000000.0,8709636,0.0284,1.5489584475132996,74.7,6.940000005008268,1.5187578791961232,0,1,0,0,Veteran talisman
1,Mexico,MEX,R. Jiménez,Wolverhampton Wanderers,FW,30,83.0,3,11,121,19,72.0,82.0,76.0,81.0,47.0,82.0,35500000.0,8709636,0.0284,1.0111512769806243,75.60000000000001,6.940000005008268,1.5187578791961232,0,1,0,0,Forward
2,Mexico,MEX,J. Corona,FC Porto,MF,28,82.0,3,9,99,19,83.0,67.0,79.0,85.0,74.0,60.0,30500000.0,8128305,0.0285,0.47334410644794944,75.4,6.909999991363539,1.4852083404669185,0,0,0,1,Box-to-box midfielder
3,Mexico,MEX,H. Herrera,Atlético de Madrid,MF,31,81.0,3,12,132,19,70.0,75.0,76.0,76.0,78.0,84.0,21000000.0,7585776,0.0287,1.280054862246962,75.85000000000001,6.880000014296082,1.4524174648115666,0,0,0,1,Defensive midfielder
4,Mexico,MEX,H. Lozano,Napoli,FW,25,81.0,3,6,66,19,93.0,76.0,72.0,82.0,41.0,62.0,31000000.0,7585776,0.0287,-0.333366649351063,74.05,6.880000014296082,1.4524174648115666,0,1,0,0,Forward
5,Mexico,MEX,G. Ochoa,Club América,GK,35,80.0,1,16,80,19,80.0,80.0,80.0,80.0,80.0,80.0,2300000.0,141254,0.0391,1.1548231966192435,80.0,5.150000754922137,-0.4675952697363673,0,0,1,0,Experienced elder
6,Mexico,MEX,A. Talavera,Club Universidad Nacional,GK,38,78.0,1,19,95,19,78.0,78.0,78.0,78.0,78.0,78.0,1600000.0,123027,0.0395,1.736375326163306,78.0,5.09000043391261,-0.5346813386441358,0,0,1,0,Experienced elder
7,Mexico,MEX,A. Guardado,Real Betis Balompié,MF,34,78.0,3,15,165,19,64.0,68.0,80.0,79.0,73.0,69.0,4800000.0,6165950,0.0293,2.086765618045974,72.60000000000001,6.789999998688878,1.3539646522240105,0,0,0,1,Experienced elder
8,Mexico,MEX,J. Hernández,LA Galaxy,FW,33,78.0,3,14,154,19,68.0,76.0,63.0,75.0,31.0,66.0,9000000.0,6165950,0.0293,1.8178620327796369,66.5,6.789999998688878,1.3539646522240105,0,1,0,0,Experienced elder
9,Mexico,MEX,L. Rodríguez,Tigres U.A.N.L.,DF,30,78.0,1,11,55,19,84.0,64.0,73.0,76.0,70.0,79.0,12000000.0,123027,0.0395,0.18556964737913995,73.30000000000001,5.09000043391261,-0.5346813386441358,1,0,0,0,Ball-playing defender
10,Mexico,MEX,J. dos Santos,LA Galaxy,MF,31,77.0,3,12,132,19,71.0,66.0,79.0,77.0,70.0,72.0,8500000.0,5754399,0.0294,1.280054862246962,72.55,6.759999971821,1.3203683797301,0,0,0,1,Box-to-box midfielder
11,Mexico,MEX,H. Moreno,CF Monterrey,DF,33,77.0,1,14,70,19,57.0,49.0,64.0,63.0,79.0,71.0,5000000.0,114815,0.0396,0.7671217769232022,61.199999999999996,5.059998630149691,-0.5688091437607701,1,0,0,0,Experienced elder
12,Mexico,MEX,L. Montes,Club León,MF,35,77.0,1,16,80,19,62.0,73.0,77.0,80.0,59.0,69.0,4200000.0,114815,0.0396,1.1548231966192435,71.75,5.059998630149691,-0.5688091437607701,0,0,0,1,Experienced elder
13,Mexico,MEX,R. Funes Mori,CF Monterrey,FW,30,77.0,1,11,55,19,77.0,77.0,68.0,74.0,43.0,81.0,10500000.0,114815,0.0396,0.18556964737913995,71.6,5.059998630149691,-0.5688091437607701,0,1,0,0,Forward
