team,team_code,squad_overall,skill_index,longevity,social_score,squad_market_value_eur,star_power,prior_strength
Mexico,MEX,74.125,74.75,0.07598608069671997,-0.20720876258280077,210416257,1.5310643019358485,0.21112552753884453
Netherlands,NED,79.53125,79.83781250000001,-0.0024539534978288294,0.5716772717760523,413263026,2.416875200822269,0.6542725593099098
Ghana,GHA,69.61875,69.99312499999999,-0.11774229793101801,-0.3090761301700563,153910639,1.8440930184392499,-0.23455492426235638
Saudi Arabia,KSA,62.7125,63.1865625,-0.21797746542924587,-0.745897614738107,105270086,0.7483722652891058,-0.8509667650818324
Canada,CAN,69.75625,69.629375,-0.050243766767210464,-0.06178981810181261,191315022,2.181758788100818,-0.1932706097489006
Croatia,CRO,76.375,75.81625,0.1756951917020483,0.5676107429843673,274883183,2.736024289114866,0.40869811904439257
Ecuador,ECU,71.83125,71.9115625,-0.14876064039582276,-0.2660619582976564,186362792,1.2242516905942753,-0.11352200098017895
Qatar,QAT,63.800000000000004,64.4596875,0.20041866681440387,-0.7484238461291614,104238417,0.6775064043044584,-0.5859301825185304
United States,USA,73.59375,74.225,-0.050918852932199436,-0.08692473883118136,230872137,2.6386476445911886,0.17462001250156614
Germany,GER,79.13125000000001,79.07531250000001,-0.18771317660606116,0.5554700528892103,368285027,2.679585481116911,0.518222579302716
Japan,JPN,73.8,73.86625000000001,-0.20479161203598958,0.2668894803363894,253922113,1.8027800906346623,0.060996966472007516
Tunisia,TUN,66.15625,66.49000000000001,0.14422976022097508,-0.6878324755074957,125107876,1.50588247106891,-0.41066601205354364
Argentina,ARG,81.0,80.613125,-0.011291230556972044,0.9081836839585354,375187383,2.899434450771101,0.7140895479286523
Poland,POL,74.4625,74.8075,0.1482013097342782,0.3153820741250807,231378265,1.951161604423616,0.27370617830418054
South Korea,KOR,72.625,73.07593750000001,0.2816991700598258,0.11529122066628046,191104022,1.6393163270825806,0.1723537013680153
Honduras,HON,63.368750000000006,63.645,0.21719904290015327,-0.8560251724703355,82936622,1.5989726837644773,-0.6263958668453673
France,FRA,80.80624999999999,81.420625,0.30274915500305727,0.7074552327997984,403127240,2.80202788806772,0.9097860977503631
Senegal,SEN,74.76875,74.90687499999999,0.29698034414350766,0.3103476315118797,240971120,1.698655087939,0.33868941173932277
Uruguay,URU,76.3375,77.25375,0.013879333571652035,0.36668222272984524,304835439,2.477442193054252,0.44406015634651325
Iran,IRN,66.95,66.76468750000001,0.21322749338685018,-0.4089405264246236,134067108,1.6755230428997328,-0.34693379219426884
Brazil,BRA,80.43125,80.4859375,-0.15834306581541344,1.13012885900968,410479261,2.6199941832229103,0.6415767663335294
Switzerland,SUI,74.2375,74.2025,0.005191086184598348,0.13011234464538396,255745865,1.532556885350608,0.1643892781721443
Cameroon,CMR,69.5125,70.116875,0.03875183835609711,-0.5732068661384487,158140916,0.6564695483067641,-0.20353086939365456
New Zealand,NZL,60.78125,60.88,-0.35634105330063365,-0.8685740068314818,71226527,0.990057065313632,-1.1098780499839906
Spain,ESP,79.91874999999999,80.28062499999999,0.2595970721307953,0.8381741595269693,414745743,2.3408502306314336,0.7947984041718191
Morocco,MAR,74.7625,74.94187500000001,0.0787564875521345,0.45564071313052396,265465635,1.957553649107786,0.26981449786285533
